mode,alpha
8,0.25338423252105713
9,0.28387248516082764
10,0.30290013551712036
11,0.17387813329696655
12,-0.22747232019901276
13,-0.008739424869418144
14,-0.10311572998762131
15,0.06347121298313141
16,-0.2120165377855301
17,0.07995118200778961
18,-0.17593759298324585
19,-0.12567336857318878
20,0.06465472280979156
21,0.22040222585201263
22,0.10713496804237366
23,0.1290891468524933
24,-0.05345062538981438
25,0.0245421901345253
26,0.1898006945848465
27,0.10132944583892822
28,0.20184141397476196
29,0.11569151282310486
30,-0.0736241415143013
31,-0.036549679934978485
32,0.15663397312164307
33,0.014086512848734856
34,0.019948363304138184
35,0.06896834820508957
36,0.24690943956375122
37,0.14852865040302277
38,-0.1662611961364746
39,0.0438196025788784
40,0.10690703988075256
41,0.06539694219827652
42,-0.048414524644613266
43,-0.008105038665235043
44,-0.03023766726255417
45,-0.1490631252527237
46,-0.19554539024829865
47,0.14221465587615967
48,0.14220215380191803
49,-0.008914199657738209
50,-0.0949641540646553
51,-0.01820092275738716
52,0.06319325417280197
53,0.11013635993003845
54,0.024551082402467728
55,-0.056486863642930984
56,0.048467446118593216
57,-0.03600021079182625
58,-0.1475459486246109
59,0.21944475173950195
60,-0.10863086581230164
