mode,alpha
8,-0.25075408816337585
9,0.04146885499358177
10,0.14248719811439514
11,0.0010787631617859006
12,0.17513801157474518
13,-0.17236782610416412
14,-0.14784789085388184
15,-0.10079723596572876
16,0.05227509140968323
17,0.1714245080947876
18,-0.13984495401382446
19,0.07459070533514023
20,0.25876492261886597
21,0.17141307890415192
22,0.13936816155910492
23,0.26217561960220337
24,-0.08175503462553024
25,-0.09007324278354645
26,-0.10584177821874619
27,0.20296607911586761
28,0.13449743390083313
29,0.03412851318717003
30,0.12735769152641296
31,0.04332909733057022
32,-0.1284649521112442
33,0.09088238328695297
34,-0.09212280064821243
35,0.121795654296875
36,0.11024609208106995
37,-0.015086295083165169
38,-0.035137761384248734
39,0.06519772112369537
40,0.04145040363073349
41,0.06275062263011932
42,-0.049758609384298325
43,-0.02583637461066246
44,-0.25348278880119324
45,-0.016792528331279755
46,-0.05924258008599281
47,0.11248046159744263
48,-0.48984894156455994
49,-0.11902846395969391
50,0.08564849942922592
51,0.007092235144227743
52,-0.1039789468050003
53,0.08356982469558716
54,-0.0014943425776436925
55,0.11523488163948059
56,0.11192125827074051
57,-0.02691885456442833
58,0.06711721420288086
59,0.10053572058677673
60,-0.02271287702023983
