mode,scale_real,scale_imag,scale_abs,scale_phase_deg
8,0.9957286715507507,-0.0010011839913204312,0.9957291483879089,-0.057609666138887405
9,0.9861892461776733,0.004385456442832947,0.9861990213394165,0.2547852396965027
10,0.9917858242988586,0.022642575204372406,0.9920442700386047,1.307841420173645
11,0.7551135420799255,0.08849787712097168,0.7602817416191101,6.6844635009765625
12,1.1002750396728516,-0.07121412456035614,1.1025772094726562,-3.703242540359497
13,1.1133570671081543,-0.05819900706410408,1.1148771047592163,-2.992324113845825
14,0.9521631598472595,-0.018916044384241104,0.9523510336875916,-1.1381105184555054
15,0.9811992049217224,-0.004165444988757372,0.9812080264091492,-0.24323396384716034
16,1.0001857280731201,-0.002705656923353672,1.0001894235610962,-0.15499354898929596
17,0.9429163932800293,-0.011514334939420223,0.9429866671562195,-0.6996272206306458
18,1.0091238021850586,-0.029687827453017235,1.009560465812683,-1.6851218938827515
19,0.9591403603553772,-0.23468993604183197,0.9874358773231506,-13.74942398071289
20,1.484954833984375,0.3779464066028595,1.532297134399414,14.279569625854492
21,0.8396580219268799,0.009316482581198215,0.8397096991539001,0.6357030868530273
22,0.8583229184150696,0.015002194792032242,0.8584539890289307,1.0013420581817627
23,1.0030169486999512,0.006884843111038208,1.0030405521392822,0.3932797312736511
24,0.9979137778282166,-0.003898941446095705,0.9979214072227478,-0.2238587737083435
25,1.0313749313354492,0.0024199539329856634,1.0313777923583984,0.1344349980354309
26,0.9585733413696289,0.01584794744849205,0.9587043523788452,0.9471760988235474
27,1.0150949954986572,-0.0006392091745510697,1.0150952339172363,-0.03607936203479767
28,1.0135291814804077,-0.051858287304639816,1.0148550271987915,-2.929044485092163
29,0.9393146634101868,0.008432547561824322,0.9393525123596191,0.5143498778343201
30,0.9703735709190369,0.0011558070546016097,0.9703742861747742,0.06824468076229095
31,0.9779408574104309,0.004000957123935223,0.9779490232467651,0.2344074845314026
32,0.9805975556373596,0.0059087094850838184,0.9806153774261475,0.34523847699165344
33,0.9844886064529419,0.005165693815797567,0.9845021367073059,0.30063295364379883
34,0.9900519847869873,0.005498464684933424,0.9900672435760498,0.3182010054588318
35,0.9541007280349731,0.03229866549372673,0.9546472430229187,1.9388630390167236
36,0.9772607088088989,0.021076805889606476,0.9774879813194275,1.235519528388977
37,1.2093000411987305,-0.2941311001777649,1.2445560693740845,-13.670278549194336
38,0.9615681171417236,0.1581338793039322,0.9744842648506165,9.338936805725098
39,0.9930565357208252,0.007847588509321213,0.9930875301361084,0.45276808738708496
40,0.9789568185806274,0.02645212411880493,0.9793141484260559,1.5477968454360962
41,0.9912206530570984,0.007852709852159023,0.9912517666816711,0.4539026618003845
42,0.9961829781532288,0.005129377823323011,0.9961962103843689,0.2950151562690735
43,0.9991832971572876,-1.884063021861948e-05,0.9991832971572876,-0.0010803708573803306
44,1.0003633499145508,0.00025550267309881747,1.0003633499145508,0.014633906073868275
45,0.9997312426567078,0.0006579529726877809,0.9997314810752869,0.03770805522799492
46,0.9996532201766968,0.0005435201455838978,0.9996533393859863,0.031152207404375076
47,0.9995368123054504,0.0004055014287587255,0.9995368719100952,0.023244284093379974
48,1.0020346641540527,0.000788218283560127,1.0020350217819214,0.045069869607686996
49,0.9999757409095764,7.960322545841336e-05,0.9999757409095764,0.00456103915348649
50,0.9999942779541016,0.00011862574319820851,0.9999942779541016,0.0067967926152050495
51,1.0010337829589844,0.002032999414950609,1.0010358095169067,0.1163618341088295
52,0.9883987307548523,-0.0020852673333138227,0.988400936126709,-0.12087918817996979
53,1.0006616115570068,0.000146461243275553,1.0006616115570068,0.008386061526834965
54,0.9955312013626099,-0.0006713183829560876,0.995531439781189,-0.03863636031746864
55,0.9991657137870789,0.0006373468786478043,0.9991658926010132,0.036547768861055374
56,0.9983185529708862,-0.0005703872302547097,0.9983187317848206,-0.03273581713438034
57,0.9970378875732422,-0.0005226167850196362,0.9970380067825317,-0.0300326906144619
58,0.9994313716888428,3.012709566974081e-05,0.9994313716888428,0.0017271373653784394
59,1.0000483989715576,0.00015662283112760633,1.0000483989715576,0.00897339265793562
60,1.0000462532043457,5.3810221288586035e-05,1.0000462532043457,0.0030829557217657566
