172.838,157.006,145.728,142.822,152.192,166.069,179.341,176.865,158.445,151.270,153.204,162.260,175.718,173.439,154.008
162.536,151.834,142.647,141.116,151.475,163.014,175.198,175.301,165.905,162.131,164.013,166.774,172.628,172.190,156.010
159.105,151.357,146.976,148.768,157.602,166.550,179.388,174.567,166.246,163.684,163.492,166.226,165.395,164.515,156.532
148.205,148.417,152.834,163.460,174.973,179.582,3.396,177.527,167.310,165.755,159.994,162.755,162.363,152.891,147.575
129.627,138.234,149.974,173.540,14.980,15.792,0.996,165.947,161.951,158.802,150.021,159.567,172.592,172.037,170.120
111.170,118.946,129.292,155.961,3.419,176.413,167.933,160.010,139.455,137.672,119.836,81.771,49.702,30.939,7.248
96.738,103.608,109.324,116.180,116.604,119.176,119.370,97.811,117.615,119.566,105.080,88.342,85.521,66.957,51.617
77.691,97.505,105.059,101.619,89.328,84.954,81.374,90.186,114.606,92.397,88.401,91.042,102.379,96.463,82.138
69.107,96.480,105.366,98.980,75.918,61.931,65.991,78.375,87.155,62.136,64.614,86.606,101.969,103.245,98.310
81.196,94.554,101.056,97.473,83.082,81.168,67.666,22.378,179.706,24.691,39.774,81.970,102.715,106.339,111.940
87.078,87.506,87.979,91.228,99.402,129.536,161.247,175.896,1.245,25.020,33.795,84.784,111.420,121.836,126.241
92.680,76.154,71.107,84.827,111.605,132.100,144.752,162.101,7.198,16.111,156.309,124.611,128.705,138.300,140.025
88.764,68.667,62.633,77.419,126.389,136.649,147.524,161.903,179.088,2.773,157.929,134.035,131.058,137.251,138.273
82.623,65.888,51.066,36.170,162.647,147.257,151.098,167.794,170.515,173.104,162.200,140.512,133.595,135.326,134.710
83.496,69.452,42.573,14.739,10.557,9.691,5.022,11.737,178.809,175.928,166.775,140.130,134.702,134.193,121.058
