mode,alpha
8,0.24048753082752228
9,-0.17395029962062836
10,-0.15627525746822357
11,0.02072950266301632
12,0.2199493944644928
13,0.0679909884929657
14,0.28683486580848694
15,0.2617942988872528
16,0.028854601085186005
17,-0.14484378695487976
18,-0.2411247044801712
19,0.17118079960346222
20,-0.04031809791922569
21,0.024073868989944458
22,0.28373268246650696
23,-0.011491695418953896
24,-0.2064443975687027
25,-0.0906888023018837
26,0.1678796410560608
27,0.13699597120285034
28,0.3757360577583313
29,-0.1791118085384369
30,0.02450486831367016
31,-0.08585696667432785
32,0.09477530419826508
33,0.1037219688296318
34,0.2196083664894104
35,-0.050259679555892944
36,0.08573170751333237
37,-0.25157618522644043
38,0.0030064317397773266
39,-0.26639214158058167
40,0.0035073028411716223
