lambda,total_loss,target_loss,contrast_loss,compact_loss,smoothness_loss,iou_band,T_lambda_foreground_ratio,drive_frequency_hz,h_csv_path
0.0,0.04520899728454926,0.006591128541983823,0.0,0.04139436403360837,0.0038095238095238087,0.6890257814282454,0.201416015625,636.5465547017182,reports/homotopy/ring_v1/lambda_0.000/H.csv
0.1,0.04950565515338974,0.008801332500390655,0.003368326160950813,0.031343033417391024,0.003373783870280647,0.4335303662494205,0.1270294189453125,636.5465547017182,reports/homotopy/ring_v1/lambda_0.100/H.csv
0.2,0.06925381075368248,0.004688019012551966,0.0,0.021252658247012095,0.003881641171966642,0.18033286593915748,0.045135498046875,636.5465547017182,reports/homotopy/ring_v1/lambda_0.200/H.csv
0.30000000000000004,0.15333141469097128,0.002138860749898666,0.0,0.009903759902820082,0.02390166707777657,0.09246826171875,0.0231170654296875,636.5465547017182,reports/homotopy/ring_v1/lambda_0.300/H.csv
0.4,0.08139910736551761,0.0021477454872442813,0.0,0.006577428744042999,0.005913796870288232,0.07686241203591361,0.0193328857421875,636.5465547017182,reports/homotopy/ring_v1/lambda_0.400/H.csv
0.5,0.08999312707748137,0.001767224534594501,0.0,0.00658472405442223,0.006319653158035515,0.06492954324586978,0.0163116455078125,636.5465547017182,reports/homotopy/ring_v1/lambda_0.500/H.csv
0.6000000000000001,0.1259584697525951,0.0006805031783884997,0.0,0.010611957167367023,0.0020073615823822206,0.056718228692750984,0.0142669677734375,636.5465547017182,reports/homotopy/ring_v1/lambda_0.600/H.csv
0.7000000000000001,0.1340847557771563,0.002101676292171912,0.0,0.009176077883879183,0.0065316427917309055,0.047497103835132004,0.0118865966796875,636.5465547017182,reports/homotopy/ring_v1/lambda_0.700/H.csv
0.8,0.1599058971669304,0.00024951892250002597,0.0,0.017292974741489123,0.013530611769874638,0.041876861362669424,0.0105133056640625,636.5465547017182,reports/homotopy/ring_v1/lambda_0.800/H.csv
0.9,0.09921044343163099,0.004221938455205257,0.0,0.01220095730227718,0.004398209549949772,0.04353369763205829,0.0109405517578125,636.5465547017182,reports/homotopy/ring_v1/lambda_0.900/H.csv
1.0,0.17095249303203483,0.030829696197386822,0.0,0.02048899125815564,0.010303617678663751,0.16491721675143384,0.0773468017578125,636.5465547017182,reports/homotopy/ring_v1/lambda_1.000/H.csv
