boundary_id,row,col,centroid_x_m,centroid_y_m
1,15,1,-0.07,-0.07
2,14,1,-0.07,-0.06
3,13,1,-0.07,-0.05
4,12,1,-0.07,-0.04
5,11,1,-0.07,-0.03
6,10,1,-0.07,-0.02
7,9,1,-0.07,-0.01
8,8,1,-0.07,0
9,7,1,-0.07,0.01
10,6,1,-0.07,0.02
11,5,1,-0.07,0.03
12,4,1,-0.07,0.04
13,3,1,-0.07,0.05
14,2,1,-0.07,0.06
15,1,1,-0.07,0.07
16,15,2,-0.06,-0.07
17,14,2,-0.06,-0.06
18,13,2,-0.06,-0.05
19,12,2,-0.06,-0.04
20,11,2,-0.06,-0.03
21,10,2,-0.06,-0.02
22,9,2,-0.06,-0.01
23,8,2,-0.06,0
24,7,2,-0.06,0.01
25,6,2,-0.06,0.02
26,5,2,-0.06,0.03
27,4,2,-0.06,0.04
28,3,2,-0.06,0.05
29,2,2,-0.06,0.06
30,1,2,-0.06,0.07
31,15,3,-0.05,-0.07
32,14,3,-0.05,-0.06
33,13,3,-0.05,-0.05
34,12,3,-0.05,-0.04
35,11,3,-0.05,-0.03
36,10,3,-0.05,-0.02
37,9,3,-0.05,-0.01
38,8,3,-0.05,0
39,7,3,-0.05,0.01
40,6,3,-0.05,0.02
41,5,3,-0.05,0.03
42,4,3,-0.05,0.04
43,3,3,-0.05,0.05
44,2,3,-0.05,0.06
45,1,3,-0.05,0.07
46,15,4,-0.04,-0.07
47,14,4,-0.04,-0.06
48,13,4,-0.04,-0.05
49,12,4,-0.04,-0.04
50,11,4,-0.04,-0.03
51,10,4,-0.04,-0.02
52,9,4,-0.04,-0.01
53,8,4,-0.04,0
54,7,4,-0.04,0.01
55,6,4,-0.04,0.02
56,5,4,-0.04,0.03
57,4,4,-0.04,0.04
58,3,4,-0.04,0.05
59,2,4,-0.04,0.06
60,1,4,-0.04,0.07
61,15,5,-0.03,-0.07
62,14,5,-0.03,-0.06
63,13,5,-0.03,-0.05
64,12,5,-0.03,-0.04
65,11,5,-0.03,-0.03
66,10,5,-0.03,-0.02
67,9,5,-0.03,-0.01
68,8,5,-0.03,0
69,7,5,-0.03,0.01
70,6,5,-0.03,0.02
71,5,5,-0.03,0.03
72,4,5,-0.03,0.04
73,3,5,-0.03,0.05
74,2,5,-0.03,0.06
75,1,5,-0.03,0.07
76,15,6,-0.02,-0.07
77,14,6,-0.02,-0.06
78,13,6,-0.02,-0.05
79,12,6,-0.02,-0.04
80,11,6,-0.02,-0.03
81,10,6,-0.02,-0.02
82,9,6,-0.02,-0.01
83,8,6,-0.02,0
84,7,6,-0.02,0.01
85,6,6,-0.02,0.02
86,5,6,-0.02,0.03
87,4,6,-0.02,0.04
88,3,6,-0.02,0.05
89,2,6,-0.02,0.06
90,1,6,-0.02,0.07
91,15,7,-0.01,-0.07
92,14,7,-0.01,-0.06
93,13,7,-0.01,-0.05
94,12,7,-0.01,-0.04
95,11,7,-0.01,-0.03
96,10,7,-0.01,-0.02
97,9,7,-0.01,-0.01
98,8,7,-0.01,0
99,7,7,-0.01,0.01
100,6,7,-0.01,0.02
101,5,7,-0.01,0.03
102,4,7,-0.01,0.04
103,3,7,-0.01,0.05
104,2,7,-0.01,0.06
105,1,7,-0.01,0.07
106,15,8,-2.16840434497e-19,-0.07
107,14,8,0,-0.06
108,13,8,0,-0.05
109,12,8,0,-0.04
110,11,8,0,-0.03
111,10,8,0,-0.02
112,9,8,0,-0.01
113,8,8,2.16840434497e-19,0
114,7,8,0,0.01
115,6,8,0,0.02
116,5,8,0,0.03
117,4,8,0,0.04
118,3,8,0,0.05
119,2,8,0,0.06
120,1,8,-2.16840434497e-19,0.07
121,8,8,1.08420217249e-19,1.08420217249e-19
122,15,9,0.01,-0.07
123,14,9,0.01,-0.06
124,13,9,0.01,-0.05
125,12,9,0.01,-0.04
126,11,9,0.01,-0.03
127,10,9,0.01,-0.02
128,9,9,0.01,-0.01
129,8,9,0.01,0
130,7,9,0.01,0.01
131,6,9,0.01,0.02
132,5,9,0.01,0.03
133,4,9,0.01,0.04
134,3,9,0.01,0.05
135,2,9,0.01,0.06
136,1,9,0.01,0.07
137,15,10,0.02,-0.07
138,14,10,0.02,-0.06
139,13,10,0.02,-0.05
140,12,10,0.02,-0.04
141,11,10,0.02,-0.03
142,10,10,0.02,-0.02
143,9,10,0.02,-0.01
144,8,10,0.02,0
145,7,10,0.02,0.01
146,6,10,0.02,0.02
147,5,10,0.02,0.03
148,4,10,0.02,0.04
149,3,10,0.02,0.05
150,2,10,0.02,0.06
151,1,10,0.02,0.07
152,15,11,0.03,-0.07
153,14,11,0.03,-0.06
154,13,11,0.03,-0.05
155,12,11,0.03,-0.04
156,11,11,0.03,-0.03
157,10,11,0.03,-0.02
158,9,11,0.03,-0.01
159,8,11,0.03,0
160,7,11,0.03,0.01
161,6,11,0.03,0.02
162,5,11,0.03,0.03
163,4,11,0.03,0.04
164,3,11,0.03,0.05
165,2,11,0.03,0.06
166,1,11,0.03,0.07
167,15,12,0.04,-0.07
168,14,12,0.04,-0.06
169,13,12,0.04,-0.05
170,12,12,0.04,-0.04
171,11,12,0.04,-0.03
172,10,12,0.04,-0.02
173,9,12,0.04,-0.01
174,8,12,0.04,0
175,7,12,0.04,0.01
176,6,12,0.04,0.02
177,5,12,0.04,0.03
178,4,12,0.04,0.04
179,3,12,0.04,0.05
180,2,12,0.04,0.06
181,1,12,0.04,0.07
182,15,13,0.05,-0.07
183,14,13,0.05,-0.06
184,13,13,0.05,-0.05
185,12,13,0.05,-0.04
186,11,13,0.05,-0.03
187,10,13,0.05,-0.02
188,9,13,0.05,-0.01
189,8,13,0.05,0
190,7,13,0.05,0.01
191,6,13,0.05,0.02
192,5,13,0.05,0.03
193,4,13,0.05,0.04
194,3,13,0.05,0.05
195,2,13,0.05,0.06
196,1,13,0.05,0.07
197,15,14,0.06,-0.07
198,14,14,0.06,-0.06
199,13,14,0.06,-0.05
200,12,14,0.06,-0.04
201,11,14,0.06,-0.03
202,10,14,0.06,-0.02
203,9,14,0.06,-0.01
204,8,14,0.06,0
205,7,14,0.06,0.01
206,6,14,0.06,0.02
207,5,14,0.06,0.03
208,4,14,0.06,0.04
209,3,14,0.06,0.05
210,2,14,0.06,0.06
211,1,14,0.06,0.07
212,15,15,0.07,-0.07
213,14,15,0.07,-0.06
214,13,15,0.07,-0.05
215,12,15,0.07,-0.04
216,11,15,0.07,-0.03
217,10,15,0.07,-0.02
218,9,15,0.07,-0.01
219,8,15,0.07,0
220,7,15,0.07,0.01
221,6,15,0.07,0.02
222,5,15,0.07,0.03
223,4,15,0.07,0.04
224,3,15,0.07,0.05
225,2,15,0.07,0.06
226,1,15,0.07,0.07
