candidate_id,primary_metric,primary_score,final_score_nodal,final_score_amplitude_valley,best_mode,best_iou,best_dice,best_precision,best_recall,frequency_hz,amplitude_valley_iou,amplitude_valley_dice,amplitude_valley_layout,amplitude_valley_contrast,amplitude_valley_csv,scoring_version_legacy,scoring_version_primary
w4_pipeline_diagonal_v1_sweep_f640,final_score_amplitude_valley,0.15850469936589173,,0.15850469936589173,,,,,,,0.03498353009064461,0.06760210007898527,0.3832058197103369,1.2964837556390296,data/comsol_exports/w4_pipeline_diagonal_v1_sweep_f640/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w6_pipeline_diagonal_v1_v1_sweep_f200,final_score_amplitude_valley,0.14801052115418828,,0.14801052115418828,,,,,,,0.03446925186055621,0.06664142370314274,0.39013662561093165,1.1578134423970072,data/comsol_exports/w6_pipeline_diagonal_v1_v1_sweep_f200/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w6_pipeline_diagonal_v1_v1_sweep_f540,final_score_amplitude_valley,0.1395231243913406,,0.1395231243913406,,,,,,,0.025921229300313292,0.05053259170392991,0.3156156171623401,1.2620596553283783,data/comsol_exports/w6_pipeline_diagonal_v1_v1_sweep_f540/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w4_pipeline_diagonal_v1_sweep_f400,final_score_amplitude_valley,0.13091034628216527,,0.13091034628216527,,,,,,,0.03102018581847895,0.06017377010684513,0.31583268457931285,1.1358814545060891,data/comsol_exports/w4_pipeline_diagonal_v1_sweep_f400/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w6_pipeline_diagonal_v1_v1_sweep_f860,final_score_amplitude_valley,0.12901646408929923,,0.12901646408929923,,,,,,,0.028225728013694634,0.054901812403042115,0.34257269706109605,1.0989828744231134,data/comsol_exports/w6_pipeline_diagonal_v1_v1_sweep_f860/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w4_pipeline_diagonal_v1_sweep_f950,final_score_amplitude_valley,0.12572593167657972,,0.12572593167657972,,,,,,,0.03206408118202532,0.06213583394027677,0.3683358755745325,1.0182916044838841,data/comsol_exports/w4_pipeline_diagonal_v1_sweep_f950/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w6_pipeline_diagonal_v1_v1_sweep_f640,final_score_amplitude_valley,0.12026057035893117,,0.12026057035893117,,,,,,,0.03268132997862728,0.06329412381127034,0.35114374196297904,0.9665565680645806,data/comsol_exports/w6_pipeline_diagonal_v1_v1_sweep_f640/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w6_pipeline_diagonal_v1_v2_strong_sweep_f860,final_score_amplitude_valley,0.11980618594086342,,0.11980618594086342,,,,,,,0.02868429205824641,0.05576889290465076,0.3000267040646613,1.084604521512698,data/comsol_exports/w6_pipeline_diagonal_v1_v2_strong_sweep_f860/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w6_pipeline_diagonal_v1_v2_strong_sweep_f200,final_score_amplitude_valley,0.1195680012745867,,0.1195680012745867,,,,,,,0.032052642751008276,0.062114356232003294,0.3200295318644372,1.0179127456279475,data/comsol_exports/w6_pipeline_diagonal_v1_v2_strong_sweep_f200/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
w4_pipeline_diagonal_v1_sweep_f300,final_score_amplitude_valley,0.11634794573289045,,0.11634794573289045,,,,,,,0.025822055449840835,0.05034412218504585,0.3203941656521414,1.0404971179490121,data/comsol_exports/w4_pipeline_diagonal_v1_sweep_f300/forced_response/forced_response.csv,strict_precision_topology_v5,amplitude_valley_v1
