lambda,total_loss,target_loss,contrast_loss,compact_loss,smoothness_loss,iou_band,T_lambda_foreground_ratio,drive_frequency_hz,h_csv_path
0.0,0.04520899728454926,0.006591128541983823,0.0,0.04139436403360837,0.0038095238095238087,0.6890257814282454,0.201416015625,636.5465547017182,reports/homotopy/ic_v2/lambda_0.000/H.csv
0.1,0.04264346357109271,0.008071267865689164,0.0,0.03194340758237149,0.0033994217990370628,0.37284861257463997,0.106353759765625,636.5465547017182,reports/homotopy/ic_v2/lambda_0.100/H.csv
0.2,0.0879133945328876,0.0077734803143023005,0.0,0.02302417510905,0.00229254066576041,0.16053369075179724,0.04022216796875,636.5465547017182,reports/homotopy/ic_v2/lambda_0.200/H.csv
0.30000000000000004,0.2591928215175437,0.00047479695544901666,0.019849786401466424,0.01750232572109226,0.010626597434081033,0.09468751901661292,0.02374267578125,636.5465547017182,reports/homotopy/ic_v2/lambda_0.300/H.csv
0.4,0.1995580573995515,0.0027244013992639765,0.0,0.01750518024009712,0.009837322599672712,0.08123779296875,0.0203094482421875,636.5465547017182,reports/homotopy/ic_v2/lambda_0.400/H.csv
0.5,0.11784240310065623,0.0019856184153356263,0.0,0.00649931804539115,0.007994261218989811,0.06787082649151614,0.01702880859375,636.5465547017182,reports/homotopy/ic_v2/lambda_0.500/H.csv
0.6000000000000001,0.06944276477907406,0.0035650196352480356,0.0,0.0031323125190933867,0.012057891237838113,0.055113808801213963,0.01385498046875,636.5465547017182,reports/homotopy/ic_v2/lambda_0.600/H.csv
0.7000000000000001,0.07743464506570864,0.0014317118387468727,0.0,0.004476438393288343,0.012241865871734304,0.03955455485912493,0.009918212890625,636.5465547017182,reports/homotopy/ic_v2/lambda_0.700/H.csv
0.8,0.0892457033980836,0.0024474992572856616,0.0,0.00356551102204064,0.01212770453058061,0.034864618192881044,0.008758544921875,636.5465547017182,reports/homotopy/ic_v2/lambda_0.800/H.csv
0.9,0.13979050940780258,0.008174538169343024,0.0,0.017800233575343508,0.0032492053516084735,0.0596702902878987,0.0199432373046875,636.5465547017182,reports/homotopy/ic_v2/lambda_0.900/H.csv
1.0,0.13328632802159782,0.016029058166602994,0.0,0.03162458945761769,0.0024258562457007368,0.12361431870669747,0.0457305908203125,636.5465547017182,reports/homotopy/ic_v2/lambda_1.000/H.csv
