mode,alpha
8,-0.1472272127866745
9,0.023138122633099556
10,0.2789379358291626
11,0.02371697500348091
12,0.04400823637843132
13,0.272594153881073
14,-0.0379013754427433
15,-0.05969376116991043
16,-0.09916000813245773
17,-0.0659957081079483
18,0.09230885654687881
19,0.42539745569229126
20,-0.21999940276145935
21,0.14765949547290802
22,0.01715262234210968
23,0.0771089494228363
24,-0.018976913765072823
25,0.006679567042738199
26,-0.2252446711063385
27,0.1470620483160019
28,0.014585179276764393
29,0.015082232654094696
30,0.11382786929607391
31,-0.005985448602586985
32,0.15578335523605347
33,-0.015330679714679718
34,-0.12018218636512756
35,0.11460293084383011
36,0.1687089055776596
37,-0.23957602679729462
38,0.13704974949359894
39,0.05162613466382027
40,-0.007691826205700636
41,0.0026439570356160402
42,-0.04266845062375069
43,-0.09543415158987045
44,0.04186452180147171
45,0.06686341762542725
46,0.12639684975147247
47,-0.02942136488854885
48,-0.1886075884103775
49,0.1280638575553894
50,0.37324512004852295
51,0.014434747397899628
52,-0.045649439096450806
53,0.026723451912403107
54,0.17747969925403595
55,-0.024231044575572014
56,0.13728368282318115
57,-0.06156091019511223
58,-0.004753501154482365
59,0.09312137961387634
60,-0.026538362726569176
