-0.070000 0.070000 0.289562
-0.060000 0.070000 0.886379
-0.050000 0.070000 1.324433
-0.040000 0.070000 1.582438
-0.030000 0.070000 1.501141
-0.020000 0.070000 1.146813
-0.010000 0.070000 0.812633
0.000000 0.070000 3.783186
0.010000 0.070000 0.558556
0.020000 0.070000 0.629585
0.030000 0.070000 0.722571
0.040000 0.070000 0.972453
0.050000 0.070000 4.456251
0.060000 0.070000 4.780022
0.070000 0.070000 4.821612
-0.070000 0.060000 1.031110
-0.060000 0.060000 1.266361
-0.050000 0.060000 1.463668
-0.040000 0.060000 1.476024
-0.030000 0.060000 1.335002
-0.020000 0.060000 1.083404
-0.010000 0.060000 0.772240
0.000000 0.060000 0.501510
0.010000 0.060000 0.457224
0.020000 0.060000 0.573056
0.030000 0.060000 0.806724
0.040000 0.060000 4.152689
0.050000 0.060000 1.309586
0.060000 0.060000 1.635822
0.070000 0.060000 1.725349
-0.070000 0.050000 1.135800
-0.060000 0.050000 1.308929
-0.050000 0.050000 1.339668
-0.040000 0.050000 1.168104
-0.030000 0.050000 0.989254
-0.020000 0.050000 0.738705
-0.010000 0.050000 0.431236
0.000000 0.050000 0.241403
0.010000 0.050000 0.382323
0.020000 0.050000 0.603812
0.030000 0.050000 3.989520
0.040000 0.050000 1.015671
0.050000 0.050000 1.328409
0.060000 0.050000 1.730132
0.070000 0.050000 4.856769
-0.070000 0.040000 4.530599
-0.060000 0.040000 1.437074
-0.050000 0.040000 1.227219
-0.040000 0.040000 0.930593
-0.030000 0.040000 0.773451
-0.020000 0.040000 0.468562
-0.010000 0.040000 0.069414
0.000000 0.040000 -0.074276
0.010000 0.040000 0.408404
0.020000 0.040000 0.695495
0.030000 0.040000 3.997656
0.040000 0.040000 1.028610
0.050000 0.040000 1.308665
0.060000 0.040000 1.735913
0.070000 0.040000 1.740882
-0.070000 0.030000 1.910614
-0.060000 0.030000 1.632439
-0.050000 0.030000 1.302462
-0.040000 0.030000 0.988381
-0.030000 0.030000 0.977054
-0.020000 0.030000 0.747532
-0.010000 0.030000 0.030498
0.000000 0.030000 -0.506334
0.010000 0.030000 0.924934
0.020000 0.030000 0.948999
0.030000 0.030000 4.048240
0.040000 0.030000 4.170867
0.050000 0.030000 1.305886
0.060000 0.030000 1.568639
0.070000 0.030000 4.738796
-0.070000 0.020000 2.025167
-0.060000 0.020000 1.694056
-0.050000 0.020000 1.451555
-0.040000 0.020000 1.206962
-0.030000 0.020000 1.203214
-0.020000 0.020000 0.998905
-0.010000 0.020000 3.483587
0.000000 0.020000 3.301637
0.010000 0.020000 1.309998
0.020000 0.020000 4.001793
0.030000 0.020000 4.088923
0.040000 0.020000 1.122839
0.050000 0.020000 4.407791
0.060000 0.020000 1.307304
0.070000 0.020000 1.353427
-0.070000 0.010000 1.888755
-0.060000 0.010000 1.678623
-0.050000 0.010000 1.602209
-0.040000 0.010000 1.478436
-0.030000 0.010000 1.422266
-0.020000 0.010000 1.261424
-0.010000 0.010000 4.141586
0.000000 0.010000 1.878989
0.010000 0.010000 1.451559
0.020000 0.010000 4.115468
0.030000 0.010000 1.054576
