frequency_hz,x,y,real_uz,imag_uz
636.547,-0.00382671281566,-0.00202612167119,0,0
636.547,-0.005,-0.005,2.59066604772e-14,0
636.547,-0.00197892066871,-0.00385133392306,0,0
636.547,-0.005,-0.00190753787223,1.55412616301e-14,0
636.547,-0.00433,0,0,0
636.547,-0.00190753787223,-0.005,1.54485187887e-14,0
636.547,0,-0.00433,0,0
636.547,-0.005,0.00190775150599,1.53878329068e-14,0
636.547,-0.00385133392306,0.00197892066871,0,0
636.547,0.00190775150599,-0.005,1.54520516494e-14,0
636.547,0.00202612167119,-0.00382671281566,0,0
636.547,-0.00202612167119,0.00382671281566,0,0
636.547,-0.005,0.005,2.55059248656e-14,0
636.547,-0.0019094272225,0.005,1.56370477678e-14,0
636.547,0,0.00433,0,0
636.547,0.00147766755988,0.00407006125046,0,0
636.547,8.32667268469e-19,0.005,1.19669947572e-14,0
636.547,0.00433,0,0,0
636.547,0.005,1.38777878078e-18,1.17367336106e-14,0
636.547,0.00407006125046,0.00147766755988,0,0
636.547,0.005,-0.005,2.66460275265e-14,0
636.547,0.00385133392306,-0.00197892066871,0,0
636.547,0.005,-0.0019094272225,1.57180270748e-14,0
636.547,0.00306177236254,0.00306177236254,0,0
636.547,0.0019094272225,0.005,1.61099259927e-14,0
636.547,0.005,0.0019094272225,1.59251123563e-14,0
636.547,-0.000885,-0.0015328649647,1.27161789169e-12,0
636.547,-0.0015328649647,-0.000885,1.27174029772e-12,0
636.547,-0.00186450691264,-0.00187567167242,8.43089723558e-13,0
636.547,-0.00177,0,1.2714319545e-12,0
636.547,-0.00268433516245,-0.000738983120158,7.59164753025e-13,0
636.547,0,-0.00177,1.27157944242e-12,0
636.547,-0.000718432264205,-0.00269192408424,7.57458432372e-13,0
636.547,-0.0015328649647,0.000885,1.26992727821e-12,0
636.547,-0.00265321485144,0.000647311733689,7.89950054183e-13,0
636.547,-0.000885,0.0015328649647,1.26829944498e-12,0
636.547,-0.00194719253591,0.00178443766524,8.4401596928e-13,0
636.547,0,0.00177,1.2641927227e-12,0
636.547,-0.000802720381054,0.00273415977115,7.17554820179e-13,0
636.547,0.000885,-0.0015328649647,1.27026808215e-12,0
636.547,0.00075154031863,-0.00270385456952,7.45347462725e-13,0
636.547,0.00177,0,1.26253234729e-12,0
636.547,0.0015328649647,-0.000885,1.26811531374e-12,0
636.547,0.00271471102228,-0.000564731152102,7.6097223043e-13,0
636.547,0.00192394637685,-0.00189207206672,8.10157853295e-13,0
636.547,0.00231817117671,0.00040530921667,9.8798586305e-13,0
636.547,0.0015328649647,0.000885,1.26079836454e-12,0
636.547,0.000885,0.0015328649647,1.26150348623e-12,0
636.547,0.000427053001345,0.00287092483521,6.82241445395e-13,0
636.547,0.00187618296239,0.00184774001435,8.33403638837e-13,0
636.547,0.00312733402203,0.000607809752493,5.19238408228e-13,0
636.547,0.00276214303706,0.00136595635004,5.76903152049e-13,0
636.547,0.0014100336009,0.00268674970267,6.04817591875e-13,0
636.547,-0.075,-0.075,-1.63547091772e-13,0
636.547,-0.07,-0.075,-1.01234010395e-13,0
636.547,-0.075,-0.07,-1.4520422268e-13,0
636.547,-0.07,-0.07,-9.29502378926e-14,0
636.547,-0.075,-0.065,-1.18153076646e-13,0
636.547,-0.07,-0.065,-7.99053460867e-14,0
636.547,-0.065,-0.075,-3.28704181094e-14,0
636.547,-0.065,-0.07,-3.86457438955e-14,0
636.547,-0.065,-0.065,-4.04418597977e-14,0
636.547,-0.075,-0.06,-8.86717159382e-14,0
636.547,-0.07,-0.06,-6.27391701932e-14,0
636.547,-0.065,-0.06,-3.65871338543e-14,0
636.547,-0.075,-0.055,-5.9020425451e-14,0
636.547,-0.07,-0.055,-4.45837660843e-14,0
636.547,-0.065,-0.055,-2.95222930192e-14,0
636.547,-0.075,-0.05,-3.46757567058e-14,0
636.547,-0.07,-0.05,-2.83404178106e-14,0
636.547,-0.065,-0.05,-2.16484930235e-14,0
636.547,-0.075,-0.045,-1.49159225485e-14,0
636.547,-0.07,-0.045,-1.42385670758e-14,0
636.547,-0.065,-0.045,-1.29316860963e-14,0
636.547,-0.075,-0.04,-5.06495788132e-16,0
636.547,-0.07,-0.04,-2.23597928043e-15,0
636.547,-0.075,-0.035,1.33543352588e-14,0
636.547,-0.07,-0.035,9.47782362048e-15,0
636.547,-0.065,-0.04,-3.88534569685e-15,0
636.547,-0.065,-0.035,5.47012637929e-15,0
636.547,-0.075,-0.03,2.70986728583e-14,0
636.547,-0.07,-0.03,2.07676739513e-14,0
636.547,-0.075,-0.025,3.9730316232e-14,0
636.547,-0.07,-0.025,3.11155787766e-14,0
636.547,-0.065,-0.03,1.45201890207e-14,0
636.547,-0.065,-0.025,2.27684267102e-14,0
636.547,-0.075,-0.02,5.08611271908e-14,0
636.547,-0.07,-0.02,4.00541515035e-14,0
636.547,-0.075,-0.015,6.04227641716e-14,0
636.547,-0.07,-0.015,4.7540517419e-14,0
636.547,-0.065,-0.02,2.95733424479e-14,0
636.547,-0.065,-0.015,3.45219720928e-14,0
636.547,-0.075,-0.01,7.12335667066e-14,0
636.547,-0.07,-0.01,5.28075511329e-14,0
636.547,-0.075,-0.005,7.46767915552e-14,0
636.547,-0.07,-0.005,5.16945002332e-14,0
636.547,-0.065,-0.01,3.57727410781e-14,0
636.547,-0.065,-0.005,3.13195981007e-14,0
636.547,-0.075,0,6.98673880744e-14,0
636.547,-0.07,0,4.52826162402e-14,0
636.547,-0.075,0.005,6.32849705577e-14,0
636.547,-0.07,0.005,3.70943146929e-14,0
636.547,-0.065,4.16333634234e-19,2.28136953477e-14,0
636.547,-0.065,0.005,1.23348600775e-14,0
636.547,-0.075,0.01,5.92704495191e-14,0
636.547,-0.07,0.01,3.03359322771e-14,0
636.547,-0.075,0.015,6.19944300452e-14,0
636.547,-0.07,0.015,2.98474487625e-14,0
636.547,-0.065,0.01,3.05654717596e-15,0
636.547,-0.065,0.015,-9.35766654248e-17,0
636.547,-0.075,0.02,7.08300686668e-14,0
636.547,-0.07,0.02,3.5907624343e-14,0
636.547,-0.075,0.025,8.59269928409e-14,0
636.547,-0.07,0.025,4.67226514781e-14,0
636.547,-0.065,0.02,2.63146835761e-15,0
636.547,-0.065,0.025,9.36189807502e-15,0
636.547,-0.075,0.03,1.13646660601e-13,0
636.547,-0.07,0.03,6.51203203889e-14,0
636.547,-0.075,0.035,1.54906309219e-13,0
636.547,-0.07,0.035,9.3211660672e-14,0
636.547,-0.065,0.03,2.03785521488e-14,0
636.547,-0.065,0.035,3.68004562287e-14,0
636.547,-0.075,0.04,2.07363468066e-13,0
636.547,-0.07,0.04,1.30947444099e-13,0
636.547,-0.075,0.045,2.53270706655e-13,0
636.547,-0.07,0.045,1.67464522354e-13,0
636.547,-0.065,0.04,6.24355060848e-14,0
636.547,-0.065,0.045,9.12615427774e-14,0
636.547,-0.075,0.05,2.67625666085e-13,0
636.547,-0.07,0.05,1.83893979663e-13,0
636.547,-0.075,0.055,2.3190420487e-13,0
636.547,-0.07,0.055,1.61403599863e-13,0
636.547,-0.065,0.05,1.11424645757e-13,0
636.547,-0.065,0.055,1.03292113877e-13,0
636.547,-0.075,0.06,1.41631258397e-13,0
636.547,-0.07,0.06,9.38542294318e-14,0
636.547,-0.075,0.065,1.06048475034e-14,0
636.547,-0.07,0.065,-1.00640099942e-14,0
636.547,-0.065,0.06,5.84474235967e-14,0
636.547,-0.065,0.065,-1.8986117684e-14,0
636.547,-0.075,0.07,-1.36722171765e-13,0
636.547,-0.07,0.07,-1.33076538005e-13,0
636.547,-0.075,0.075,-2.80295078814e-13,0
636.547,-0.07,0.075,-2.60887491203e-13,0
636.547,-0.065,0.07,-1.1571207792e-13,0
636.547,-0.065,0.075,-2.20679720663e-13,0
636.547,-0.06,-0.075,2.99234935933e-14,0
636.547,-0.06,-0.07,1.11813452977e-14,0
636.547,-0.06,-0.065,-3.90112508252e-15,0
636.547,-0.055,-0.075,6.40619173108e-14,0
636.547,-0.055,-0.07,3.98877094383e-14,0
636.547,-0.055,-0.065,1.79622566056e-14,0
636.547,-0.06,-0.06,-1.3748940458e-14,0
636.547,-0.06,-0.055,-1.72971613724e-14,0
636.547,-0.055,-0.06,4.29238061194e-16,0
636.547,-0.055,-0.055,-8.98741925561e-15,0
636.547,-0.06,-0.05,-1.58948571141e-14,0
636.547,-0.055,-0.05,-1.22215352724e-14,0
636.547,-0.06,-0.045,-1.1914535507e-14,0
636.547,-0.055,-0.045,-1.1760558081e-14,0
636.547,-0.06,-0.04,-5.81001618746e-15,0
636.547,-0.055,-0.04,-8.18193894095e-15,0
636.547,-0.06,-0.035,1.22527702124e-15,0
636.547,-0.055,-0.035,-3.02334667149e-15,0
636.547,-0.06,-0.03,8.39441128731e-15,0
636.547,-0.06,-0.025,1.49190989068e-14,0
636.547,-0.055,-0.03,2.69262472597e-15,0
636.547,-0.055,-0.025,7.96211923057e-15,0
636.547,-0.06,-0.02,1.99753179759e-14,0
636.547,-0.06,-0.015,2.28789157904e-14,0
636.547,-0.055,-0.02,1.17738715322e-14,0
636.547,-0.055,-0.015,1.31155424027e-14,0
636.547,-0.06,-0.01,2.13998572004e-14,0
636.547,-0.06,-0.005,1.44098129733e-14,0
636.547,-0.055,-0.01,9.59552287456e-15,0
636.547,-0.055,-0.005,4.12226356214e-16,0
636.547,-0.06,0,3.58664547226e-15,0
636.547,-0.06,0.005,-8.95657265078e-15,0
636.547,-0.055,4.16333634234e-19,-1.3266733834e-14,0
636.547,-0.055,0.005,-2.78318069729e-14,0
636.547,-0.06,0.01,-2.02890920396e-14,0
636.547,-0.06,0.015,-2.5991430908e-14,0
636.547,-0.055,0.01,-3.95577633763e-14,0
636.547,-0.055,0.015,-4.67097103915e-14,0
636.547,-0.06,0.02,-2.6163802357e-14,0
636.547,-0.06,0.025,-2.27277894823e-14,0
636.547,-0.055,0.02,-4.93961142311e-14,0
636.547,-0.055,0.025,-4.88295848197e-14,0
636.547,-0.06,0.03,-1.60817396349e-14,0
636.547,-0.06,0.035,-6.44945681151e-15,0
636.547,-0.055,0.03,-4.62732022311e-14,0
636.547,-0.055,0.035,-4.28506608981e-14,0
636.547,-0.06,0.04,1.05909390023e-14,0
636.547,-0.06,0.045,3.23529701649e-14,0
636.547,-0.055,0.04,-3.14313074392e-14,0
636.547,-0.055,0.045,-1.17026091836e-14,0
636.547,-0.06,0.05,5.2257695521e-14,0
636.547,-0.06,0.055,5.85980877614e-14,0
636.547,-0.055,0.05,9.55015986103e-15,0
636.547,-0.055,0.055,2.84511468698e-14,0
636.547,-0.06,0.06,3.67420428739e-14,0
636.547,-0.06,0.065,-1.30669255945e-14,0
636.547,-0.055,0.06,2.72259490674e-14,0
636.547,-0.055,0.065,4.46141629001e-15,0
636.547,-0.06,0.07,-8.04009024856e-14,0
636.547,-0.06,0.075,-1.55343080179e-13,0
636.547,-0.055,0.07,-3.11855541601e-14,0
636.547,-0.055,0.075,-7.25198370966e-14,0
636.547,-0.05,-0.075,7.32009889127e-14,0
636.547,-0.05,-0.07,4.85525567727e-14,0
636.547,-0.045,-0.075,7.8708343629e-14,0
636.547,-0.045,-0.07,5.35247932196e-14,0
636.547,-0.05,-0.065,2.57518383584e-14,0
636.547,-0.045,-0.065,2.99493580746e-14,0
636.547,-0.05,-0.06,6.63442359725e-15,0
636.547,-0.05,-0.055,-5.50025165881e-15,0
636.547,-0.045,-0.06,9.61738165455e-15,0
636.547,-0.045,-0.055,-4.61968151124e-15,0
636.547,-0.05,-0.05,-1.10805911651e-14,0
636.547,-0.05,-0.045,-1.27509304294e-14,0
636.547,-0.045,-0.05,-1.2319307439e-14,0
636.547,-0.045,-0.045,-1.54296589337e-14,0
636.547,-0.05,-0.04,-1.10132792838e-14,0
