id,type,x_mm,y_mm,length_mm,width_mm,angle_deg,depth_or_height_mm
1,mass_pad,-42.05882352941177,-25.000000000000004,10.0,10.0,0.0,1.0
2,mass_pad,39.70588235294117,-25.000000000000004,10.0,10.0,0.0,1.0
3,mass_pad,38.52941176470588,17.352941176470594,10.0,10.0,0.0,1.0
4,mass_pad,-42.05882352941177,24.411764705882348,10.0,10.0,0.0,1.0
