name,value,unit
mat_density,1200,kg/m^3
mat_poisson_ratio,0.35,1
mat_youngs_modulus,2000000000,Pa
mat_thermal_conductivity,0.18,W/(m*K)
mat_heat_capacity,1200,J/(kg*K)
mat_thermal_expansion,8e-05,1/K
mat_E1,6928203230.28,Pa
mat_E2,577350269.19,Pa
mat_E_perp_z,577350269.19,Pa
mat_nu12,0.35,1
mat_nu23,0.35,1
mat_nu13,0.35,1
mat_G12,1111111111.11,Pa
mat_G23,740740740.741,Pa
mat_G13,740740740.741,Pa
mat_stiffness_ratio,12,1
mat_shear_ratio,1.5,1
