mode,alpha
8,0.07638557255268097
9,-0.11924988031387329
10,0.1701047122478485
11,-0.17870254814624786
12,0.007069544401019812
13,0.09806576371192932
14,0.08974599093198776
15,0.3283313810825348
16,-0.02362390235066414
17,0.24342365562915802
18,-0.5161059498786926
19,-0.34809428453445435
20,0.08710385113954544
21,-0.027082325890660286
22,0.2306298315525055
23,0.12308008968830109
24,0.22817252576351166
25,-0.11830157786607742
26,-0.18452666699886322
27,-0.2151767611503601
28,0.0011820988729596138
29,0.07392916083335876
30,0.07857587188482285
31,0.10631238669157028
32,-0.010635484009981155
33,-0.09598901867866516
34,0.13857607543468475
35,0.008248277008533478
36,-0.1419171690940857
37,0.007718528620898724
38,-0.19665491580963135
39,-0.10753680020570755
40,0.034001413732767105
